actual dist,angle,var
2.75-3.0,0.8-1.0,0.00105491476143
2.75-3.0,0.8-1.0,0.000701368494989
2.75-3.0,1.0-1.2,0.000544579885353
2.75-3.0,1.0-1.2,0.000808765023387
2.75-3.0,1.2-1.4,0.000600134213669
2.75-3.0,1.2-1.4,0.000833241390417
2.75-3.0,1.2-1.4,0.00107234867353
2.75-3.0,1.4-1.6,0.000585596656587
2.75-3.0,1.4-1.6,0.00106655780144
2.75-3.0,1.4-1.6,0.000618165709132
2.75-3.0,1.2-1.4,0.000302190534358
2.75-3.0,1.2-1.4,0.000235270546587
2.75-3.0,1.2-1.4,0.000261010897739
2.75-3.0,1.2-1.4,0.000243102451297
2.75-3.0,1.0-1.2,0.000245169207679
2.75-3.0,1.0-1.2,0.000232775761879
2.75-3.0,0.8-1.0,0.00020947715662
2.75-3.0,0.8-1.0,0.000813923109291
2.75-3.0,0.6-0.8,0.000571524897908
2.75-3.0,0.6-0.8,0.000747864083612
2.75-3.0,0.4-0.6,0.000705875947028
2.75-3.0,0.4-0.6,0.000774735013438
2.75-3.0,0.2-0.4,0.000226733344746
2.75-3.0,0.2-0.4,0.000308772028363
2.75-3.0,0.0-0.2,0.000257759662822
2.75-3.0,0.0-0.2,0.000279521148787
2.75-3.0,0.0-0.2,9.77902654991e-05
3.0-3.25,0.0-0.2,0.00115937501194
3.0-3.25,0.0-0.2,0.00109657520467
3.0-3.25,0.0-0.2,0.000484766390297
3.0-3.25,0.2-0.4,0.000595815670647
3.0-3.25,0.2-0.4,0.00070879510772
3.0-3.25,0.4-0.6,0.00114417989336
3.0-3.25,0.4-0.6,0.000676598962491
3.0-3.25,0.4-0.6,0.00111223604224
3.0-3.25,0.6-0.8,0.00174918664319
3.0-3.25,0.8-1.0,0.00065339774029
3.0-3.25,0.8-1.0,0.000162556283374
3.0-3.25,1.0-1.2,0.000432220639351
3.0-3.25,1.0-1.2,0.000446528412787
3.0-3.25,1.2-1.4,0.00032691173021
3.0-3.25,1.4-1.6,0.000285153020756
3.0-3.25,1.4-1.6,0.000376815226008
3.0-3.25,1.4-1.6,0.000572905739733
3.0-3.25,1.4-1.6,0.000734012964632
3.0-3.25,1.4-1.6,0.00153155018453
3.0-3.25,1.2-1.4,0.00196840664504
2.75-3.0,1.2-1.4,0.00165220428652
2.75-3.0,1.0-1.2,0.00134263451585
2.75-3.0,1.0-1.2,0.00107325519597
2.75-3.0,0.8-1.0,0.000773274858542
2.75-3.0,0.8-1.0,0.000662270353824
2.75-3.0,0.6-0.8,0.000284348073433
2.75-3.0,0.6-0.8,0.000393450042413
2.75-3.0,0.4-0.6,0.000242608386218
2.75-3.0,0.4-0.6,0.000288931588633
2.75-3.0,0.4-0.6,0.000542144608259
2.75-3.0,0.2-0.4,0.000620436747199
2.75-3.0,0.2-0.4,0.000977747899516
2.75-3.0,0.0-0.2,0.00147738975674
2.75-3.0,0.0-0.2,0.00113637974367
2.75-3.0,0.0-0.2,0.00154241777152
